,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Parameters,Accuracy,Precision,Recall,F1 Score,AUC,Best params
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.824327329,0.02833226,0.382608696,0.052757794,0.606328562,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,GBM,,0.938881664,0.111111111,0.416666667,0.175438596,0.681913254,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,QDA,"{'resample': TomekLinks(sampling_strategy='majority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.987213698,0,0,0,0.5,"{'imputer__n_neighbors': 3, 'qda__reg_param': 2.3299518105153814}"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ADA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': AdaBoostClassifier()}",0.959687906,0.164705882,0.388888889,0.231404959,0.678812564,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.049032688,0.013042475,0.982608696,0.025743251,0.509774896,"{'imputer__n_neighbors': 3, 'lr__C': 1, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,,GBM,,0.972691808,0.2,0.25,0.222222222,0.617073976,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 7}"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.967645097,0.123931624,0.252173913,0.166189112,0.614542864,"{'imputer__n_neighbors': 7, 'qda__reg_param': 0.02976351441631313}"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,,ADA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': AdaBoostClassifier()}",0.959687906,0.164705882,0.388888889,0.231404959,0.678812564,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
8,8,8,8,8,8,8,8,8,8,8,8,8,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.414276184,0.014142938,0.652173913,0.027685493,0.531684434,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
9,9,9,9,9,9,9,9,9,9,9,9,9,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.921109666,0.10326087,0.527777778,0.172727273,0.72756128,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
10,10,10,10,10,10,10,10,10,10,10,10,10,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.968201023,0.12987013,0.260869565,0.173410405,0.61911594,"{'imputer__n_neighbors': 7, 'qda__reg_param': 0.02976351441631313}"
11,11,11,11,11,11,11,11,11,11,11,11,11,,,ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': AdaBoostClassifier()}",0.956653663,0.166666667,0.444444444,0.242424242,0.704608836,"{'classifier__algorithm': 'SAMME.R', 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 7}"
12,12,12,12,12,12,12,12,12,12,12,12,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.059928841,0.013191688,0.982608696,0.026033867,0.515293536,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l1'}"
13,13,13,13,13,13,13,13,13,13,13,13,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.967056784,0.1875,0.333333333,0.24,0.655217966,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
14,14,14,14,14,14,14,14,14,14,14,14,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.954080498,0.101604278,0.330434783,0.155419223,0.646296342,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.02976351441631313}"
15,15,15,15,15,15,15,15,15,15,15,15,,,,ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': AdaBoostClassifier()}",0.973125271,0.229166667,0.305555556,0.261904762,0.644631587,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 5}"
16,16,16,16,16,16,16,16,16,16,16,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.123637981,0.013894104,0.965217391,0.02739388,0.538977656,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l2', 'smote__sampling_strategy': 'not minority'}"
17,17,17,17,17,17,17,17,17,17,17,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.96532293,0.15625,0.277777778,0.2,0.626999853,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
18,18,18,18,18,18,18,18,18,18,18,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.987213698,0,0,0,0.5,"{'imputer__n_neighbors': 3, 'qda__reg_param': 5.455594781168514}"
19,19,19,19,19,19,19,19,19,19,19,,,,,ADA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': AdaBoostClassifier()}",0.976159515,0.193548387,0.166666667,0.179104478,0.57782915,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
20,20,20,20,20,20,20,20,20,20,20,,,,,GBM,"{'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.895101864,0.088,0.611111111,0.153846154,0.755357405,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}"
21,21,21,21,21,21,21,21,21,21,,,,,,LR,"{'imputer': KNNImputer(), 'lr': LogisticRegression(random_state=42)}",0.987213698,0,0,0,0.5,{}
22,22,22,22,22,22,22,22,22,22,,,,,,GBM,{'classifier': LGBMClassifier(random_state=42)},0.983528392,0.333333333,0.055555556,0.095238095,0.526897108,{}
23,23,23,23,23,23,23,23,23,23,,,,,,ADA,{'classifier': AdaBoostClassifier()},0.983961855,0.454545455,0.138888889,0.212765957,0.56812344,{}
24,24,24,24,24,24,24,24,24,,,,,,,LR,"{'imputer': KNNImputer(), 'lr': LogisticRegression(random_state=42)}",0.987213698,0,0,0,0.5,{}
25,25,25,25,25,25,25,25,25,,,,,,,GBM,{'classifier': LGBMClassifier(random_state=42)},0.983961855,0.333333333,0.027777778,0.051282051,0.513448554,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}"
26,26,26,26,26,26,26,26,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=2000, random_state=42, solver='saga')}",0.205025573,0.014224555,0.895652174,0.02800435,0.545866407,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
27,27,27,27,27,27,27,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.055481432,0.013130374,0.982608696,0.025914459,0.51304103,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
28,28,28,28,28,28,28,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.972258344,0.208333333,0.277777778,0.238095238,0.63052253,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
29,29,29,29,29,29,29,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.93818101,0.083175803,0.382608696,0.136645963,0.663992714,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.0030702906297578624}"
30,30,30,30,30,30,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.108405604,0.013899139,0.982608696,0.027410552,0.53984585,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
31,31,31,31,31,31,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.971391417,0.265625,0.472222222,0.34,0.725763247,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
32,32,32,32,32,,,,,,,,,,,LR_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.129419613,0.014229946,0.982608696,0.028053625,0.550488941,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
33,33,33,33,33,,,,,,,,,,,LR_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.216366467,0.014971317,0.930434783,0.029468466,0.568776351,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l2', 'smote__sampling_strategy': 'not minority'}"
34,34,34,34,,,,,,,,,,,,GBM_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.928478544,0.12716763,0.611111111,0.210526316,0.772310289,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 7}"
35,35,35,35,,,,,,,,,,,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.95752059,0.147727273,0.361111111,0.209677419,0.664043006,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
36,36,36,36,,,,,,,,,,,,QDA_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.969535246,0.140271493,0.269565217,0.18452381,0.624083206,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
37,37,37,37,,,,,,,,,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.976095175,0.175324675,0.234782609,0.200743494,0.610239598,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'not minority'}"
38,38,38,,,,,,,,,,,,,GBM_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.953185956,0.14,0.388888889,0.205882353,0.675510054,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
39,39,39,,,,,,,,,,,,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.946684005,0.115044248,0.361111111,0.174496644,0.658538823,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'not minority'}"
40,40,40,,,,,,,,,,,,,GBM_ada_without_class_weights,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.954486346,0.129032258,0.333333333,0.186046512,0.648833113,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 500, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
41,41,,,,,,,,,,,,,,GBM_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.954919809,0.138297872,0.361111111,0.2,0.662722002,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 500, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 7}"
42,,,,,,,,,,,,,,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.946684005,0.115044248,0.361111111,0.174496644,0.658538823,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'not minority'}"
43,,,,,,,,,,,,,,,GBM_ada_without_class_weights,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.96012137,0.15,0.333333333,0.206896552,0.651695288,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 700, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 7}"