,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Parameters,Accuracy,Precision,Recall,F1 Score,AUC,Best params
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.987213698,0,0,0,0.5,"{'imputer__n_neighbors': 5, 'qda__reg_param': 3.1622776601683795}"
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.969312875,0.139013453,0.269565217,0.183431953,0.62397058,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.045141205,0.012989999,0.982608696,0.025641026,0.507803954,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.977459905,0.233333333,0.194444444,0.212121212,0.592158374,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.969535246,0.133640553,0.252173913,0.174698795,0.615500179,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.019346231,0.012870733,1,0.025414365,0.503322446,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
46,46,46,46,46,46,46,46,46,46,46,46,46,46,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.949718249,0.142857143,0.444444444,0.216216216,0.701086159,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
47,47,47,47,47,47,47,47,47,47,47,47,47,47,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.968534579,0.128318584,0.252173913,0.170087977,0.614993365,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.034689793,0.013072638,1,0.025807899,0.511093592,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
49,49,49,49,49,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='not minority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.946684005,0.115044248,0.361111111,0.174496644,0.658538823,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3}"
50,50,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='not minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.968312208,0.142857143,0.295652174,0.192634561,0.636338307,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.4923882631706752}"
51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.034689793,0.013072638,1,0.025807899,0.511093592,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
52,52,52,52,52,52,52,52,52,52,52,52,,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='not minority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.946684005,0.115044248,0.361111111,0.174496644,0.658538823,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3}"
53,53,53,53,53,53,53,53,53,53,53,53,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='not minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.968312208,0.142857143,0.295652174,0.192634561,0.636338307,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.4923882631706752}"
54,54,54,54,54,54,54,54,54,54,54,,,,,,,,,,,,,,,,,,,,LR_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.142539471,0.014196189,0.965217391,0.027980842,0.548550806,"{'imputer__n_neighbors': 5, 'lr__C': 0.01, 'lr__penalty': 'l2'}"
55,55,55,55,55,55,55,55,55,55,55,,,,,,,,,,,,,,,,,,,,LR_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.445185679,0.017613299,0.773913043,0.034442724,0.607420538,"{'imputer__n_neighbors': 5, 'lr__C': 0.01, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
56,56,56,56,56,56,56,56,56,56,56,,,,,,,,,,,,,,,,,,,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.947984395,0.144067797,0.472222222,0.220779221,0.713874211,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 700, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
57,57,57,57,57,57,57,57,57,57,57,,,,,,,,,,,,,,,,,,,,GBM_ada_without_class_weights,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.973125271,0.204545455,0.25,0.225,0.617294144,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 900, 'classifier__num_leaves': 40, 'imputer__n_neighbors': 7}"
58,58,58,58,58,58,58,58,58,58,58,,,,,,,,,,,,,,,,,,,,QDA_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.98554592,0.297297297,0.095652174,0.144736842,0.546361958,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
59,59,59,59,59,59,59,59,59,59,,,,,,,,,,,,,,,,,,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.968645764,0.138528139,0.27826087,0.184971098,0.627924218,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'not minority'}"
60,60,60,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.968645764,0.138528139,0.27826087,0.184971098,0.627924218,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'not minority'}"
61,61,61,61,61,61,61,61,,,,,,,,,,,,,,,,,,,,,,,LR_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.020235713,0.012882267,1,0.02543685,0.503772947,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l2', 'smote__sampling_strategy': 'minority'}"
62,62,62,62,62,62,62,62,,,,,,,,,,,,,,,,,,,,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.985434734,0.289473684,0.095652174,0.14379085,0.546305645,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"
63,63,63,63,63,63,63,,,,,,,,,,,,,,,,,,,,,,,,LR_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.020235713,0.012882267,1,0.02543685,0.503772947,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l2', 'smote__sampling_strategy': 'minority'}"
64,64,64,64,64,64,,,,,,,,,,,,,,,,,,,,,,,,,LR_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.020235713,0.012882267,1,0.02543685,0.503772947,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l2', 'smote__sampling_strategy': 'minority'}"
65,65,65,65,65,65,,,,,,,,,,,,,,,,,,,,,,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.985434734,0.289473684,0.095652174,0.14379085,0.546305645,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"
66,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,LR_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.061707805,0.013216374,0.982608696,0.026081939,0.516194538,"{'imputer__n_neighbors': 5, 'lr__C': 0.1, 'lr__penalty': 'l1'}"
67,67,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,LR_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.061707805,0.013216374,0.982608696,0.026081939,0.516194538,"{'imputer__n_neighbors': 5, 'lr__C': 0.1, 'lr__penalty': 'l1'}"
68,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,LR_ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.174338448,0.014348346,0.939130435,0.028264852,0.551781683,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l1'}"
69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.957087126,0.129411765,0.305555556,0.181818182,0.636485396,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 700, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3}"
70,70,70,70,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.967490247,0.157894737,0.25,0.193548387,0.614431968,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 700, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 3}"
71,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.979541917,0.194690265,0.191304348,0.192982456,0.590527723,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.2043359717856948}"
72,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,QDA_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.979430732,0.192982456,0.191304348,0.192139738,0.59047141,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.2043359717856948}"
73,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LR_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.028018679,0.01298408,1,0.02563531,0.507714833,"{'imputer__n_neighbors': 7, 'lr__C': 10, 'lr__penalty': 'l1'}"
74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LR_ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.761396487,0.00918318,0.165217391,0.017399267,0.467167768,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l2'}"
75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.966189857,0.171875,0.305555556,0.22,0.641108909,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 3}"
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBM_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
               random_state=42)}",0.954052883,0.135416667,0.361111111,0.196969697,0.662281667,"{'classifier__boosting_type': 'gbdt', 'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 500, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QDA_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.980542584,0.1875,0.156521739,0.170616114,0.573868483,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.2043359717856948}"
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QDA_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.971425395,0.126315789,0.208695652,0.157377049,0.594999927,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.2043359717856948}"