,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Parameters,Accuracy,Precision,Recall,F1 Score,AUC,Best params
0,0,0,0,0,0,LR_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.180008895,0.172448636,0.997402597,0.29405571,0.504268779,"{'imputer__n_neighbors': 5, 'lr__C': 0.01, 'lr__penalty': 'l2'}"
1,1,1,1,1,1,LR_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.622526129,0.262118492,0.663636364,0.375804376,0.638834549,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
2,2,2,2,2,,GBM_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.830949285,0.713178295,0.497297297,0.585987261,0.716970566,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 3}"
3,3,3,3,3,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.827048114,0.689320388,0.511711712,0.587383661,0.719326175,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
4,4,4,4,,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.827481578,0.717451524,0.466666667,0.565502183,0.704223744,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 700}"
5,5,5,,,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.827481578,0.717451524,0.466666667,0.565502183,0.704223744,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 700}"
6,6,,,,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.827481578,0.717451524,0.466666667,0.565502183,0.704223744,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 700}"
7,,,,,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.827481578,0.717451524,0.466666667,0.565502183,0.704223744,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 700}"
8,,,,,,QDA_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.850455859,0.605863192,0.362337662,0.453474197,0.656819489,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
9,,,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.849899933,0.60237069,0.362987013,0.452998379,0.656741695,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"