,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Parameters,Accuracy,Precision,Recall,F1 Score,AUC,Best params
0,0,0,0,0,0,0,LR_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.180008895,0.172522169,0.998051948,0.294190832,0.504526376,"{'imputer__n_neighbors': 7, 'lr__C': 1, 'lr__penalty': 'l1'}"
1,1,1,1,1,1,1,LR_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.623082055,0.262088477,0.661688312,0.375460575,0.638397148,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
2,2,2,2,2,2,2,GBM_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.821413091,0.653763441,0.547747748,0.596078431,0.727926385,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 700, 'imputer__n_neighbors': 3}"
3,3,3,3,3,3,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.81621153,0.631790744,0.565765766,0.596958175,0.730656855,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
4,4,4,4,4,4,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.832249675,0.719895288,0.495495495,0.586979723,0.717211218,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 100}"
5,5,5,5,5,5,,QDA_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.85067823,0.596097561,0.396753247,0.476413255,0.670606299,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
6,6,6,6,6,6,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.848788081,0.588757396,0.387662338,0.467501958,0.66585961,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"
7,7,7,7,7,,,LR_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.179452969,0.172425398,0.998051948,0.294050124,0.504190986,"{'imputer__n_neighbors': 7, 'lr__C': 0.01, 'lr__penalty': 'l1'}"
8,8,8,8,8,,,LR_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.623082055,0.262088477,0.661688312,0.375460575,0.638397148,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
9,9,9,9,9,,,GBM_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.821413091,0.653763441,0.547747748,0.596078431,0.727926385,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 700, 'imputer__n_neighbors': 3}"
10,10,10,10,10,,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.81621153,0.631790744,0.565765766,0.596958175,0.730656855,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
11,11,11,11,11,,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.832249675,0.719895288,0.495495495,0.586979723,0.717211218,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 100}"
12,12,12,12,12,,,QDA_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.850011119,0.592270531,0.398051948,0.476116505,0.670719025,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
13,13,13,13,,,,LR_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.179341783,0.172406057,0.998051948,0.294021999,0.504123908,"{'imputer__n_neighbors': 5, 'lr__C': 0.001, 'lr__penalty': 'l1'}"
14,14,14,14,,,,LR_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.623082055,0.262088477,0.661688312,0.375460575,0.638397148,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
15,15,15,15,,,,GBM_ada,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.821413091,0.653763441,0.547747748,0.596078431,0.727926385,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 20, 'classifier__n_estimators': 700, 'imputer__n_neighbors': 3}"
16,16,16,16,,,,GBM_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(random_state=42)}",0.81621153,0.631790744,0.565765766,0.596958175,0.730656855,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
17,17,17,17,,,,GBM_smote,{'classifier': LGBMClassifier(random_state=42)},0.832249675,0.719895288,0.495495495,0.586979723,0.717211218,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 100}"
18,18,18,18,,,,QDA_ada,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.849677563,0.592885375,0.38961039,0.470219436,0.667169026,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752}"
19,19,19,19,,,,QDA_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'qda': QuadraticDiscriminantAnalysis()}",0.848788081,0.588757396,0.387662338,0.467501958,0.66585961,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.4923882631706752, 'smote__sampling_strategy': 'minority'}"
20,20,20,,,,,LR_smote,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.192128085,0.174140678,0.993506494,0.296339338,0.510034706,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'minority'}"
21,21,,,,,,LR_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.192350456,0.174180328,0.993506494,0.296396745,0.510168863,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1'}"
22,22,,,,,,LR_ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.179564154,0.172518228,0.998701299,0.294213295,0.504515661,"{'imputer__n_neighbors': 7, 'lr__C': 10, 'lr__penalty': 'l2'}"
23,23,,,,,,GBM_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.814044213,0.613309353,0.614414414,0.613861386,0.74584876,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 500, 'classifier__num_leaves': 40, 'imputer__n_neighbors': 3}"
24,24,,,,,,GBM_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.801040312,0.579207921,0.632432432,0.604651163,0.743442244,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 700, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 5}"
25,25,,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.852568379,0.635786802,0.325324675,0.430412371,0.643410929,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.6723357536499335}"
26,26,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.852679564,0.639429313,0.32012987,0.426655128,0.641417229,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.6723357536499335}"
27,,,,,,,LR_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.192461641,0.174274331,0.994155844,0.296561743,0.510493538,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l1'}"
28,,,,,,,LR_ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.6032599321566148, 1: 2.9210746102449887},
                   max_iter=5000, random_state=42, solver='saga')}",0.179564154,0.172518228,0.998701299,0.294213295,0.504515661,"{'imputer__n_neighbors': 7, 'lr__C': 0.1, 'lr__penalty': 'l1'}"
29,,,,,,,GBM_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.798872995,0.571653543,0.654054054,0.610084034,0.749401456,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 300, 'classifier__num_leaves': 40, 'imputer__n_neighbors': 3}"
30,,,,,,,GBM_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.6582293959403277, 1: 2.079984544049459},
               random_state=42)}",0.809276116,0.593192869,0.659459459,0.624573379,0.75809731,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 20, 'classifier__n_estimators': 500, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 3}"
31,,,,,,,QDA_SMOTE,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'qda': QuadraticDiscriminantAnalysis()}",0.837336002,0.56043956,0.231818182,0.327974277,0.597127229,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.6723357536499335}"
32,,,,,,,QDA_ADASYN,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.837669557,0.570921986,0.209090909,0.30608365,0.588312559,"{'imputer__n_neighbors': 7, 'qda__reg_param': 0.6723357536499335}"